,Sex,Pclass,Survived
0,male,3,0
1,female,1,1
2,female,3,1
3,female,1,1
4,male,3,0
5,male,3,0
6,male,1,0
7,male,3,0
8,female,3,1
9,female,2,1
10,female,3,1
11,female,1,1
12,male,3,0
13,male,3,0
14,female,3,0
15,female,2,1
16,male,3,0
17,male,2,1
18,female,3,0
19,female,3,1
20,male,2,0
21,male,2,1
22,female,3,1
23,male,1,1
24,female,3,0
25,female,3,1
26,male,3,0
27,male,1,0
28,female,3,1
29,male,3,0
30,male,1,0
31,female,1,1
32,female,3,1
33,male,2,0
34,male,1,0
35,male,1,0
36,male,3,1
37,male,3,0
38,female,3,0
39,female,3,1
40,female,3,0
41,female,2,0
42,male,3,0
43,female,2,1
44,female,3,1
45,male,3,0
46,male,3,0
47,female,3,1
48,male,3,0
49,female,3,0
50,male,3,0
51,male,3,0
52,female,1,1
53,female,2,1
54,male,1,0
55,male,1,1
56,female,2,1
57,male,3,0
58,female,2,1
59,male,3,0
60,male,3,0
61,female,1,1
62,male,1,0
63,male,3,0
64,male,1,0
65,male,3,1
66,female,2,1
67,male,3,0
68,female,3,1
69,male,3,0
70,male,2,0
71,female,3,0
72,male,2,0
73,male,3,0
74,male,3,1
75,male,3,0
76,male,3,0
77,male,3,0
78,male,2,1
79,female,3,1
80,male,3,0
81,male,3,1
82,female,3,1
83,male,1,0
84,female,2,1
85,female,3,1
86,male,3,0
87,male,3,0
88,female,1,1
89,male,3,0
90,male,3,0
91,male,3,0
92,male,1,0
93,male,3,0
94,male,3,0
95,male,3,0
96,male,1,0
97,male,1,1
98,female,2,1
99,male,2,0
100,female,3,0
101,male,3,0
102,male,1,0
103,male,3,0
104,male,3,0
105,male,3,0
106,female,3,1
107,male,3,1
108,male,3,0
109,female,3,1
110,male,1,0
111,female,3,0
112,male,3,0
113,female,3,0
114,female,3,0
115,male,3,0
116,male,3,0
117,male,2,0
118,male,1,0
119,female,3,0
120,male,2,0
121,male,3,0
122,male,2,0
123,female,2,1
124,male,1,0
125,male,3,1
126,male,3,0
127,male,3,1
128,female,3,1
129,male,3,0
130,male,3,0
131,male,3,0
132,female,3,0
133,female,2,1
134,male,2,0
135,male,2,0
136,female,1,1
137,male,1,0
138,male,3,0
139,male,1,0
140,female,3,0
141,female,3,1
142,female,3,1
143,male,3,0
144,male,2,0
145,male,2,0
146,male,3,1
147,female,3,0
148,male,2,0
149,male,2,0
150,male,2,0
151,female,1,1
152,male,3,0
153,male,3,0
154,male,3,0
155,male,1,0
156,female,3,1
157,male,3,0
158,male,3,0
159,male,3,0
160,male,3,0
161,female,2,1
162,male,3,0
163,male,3,0
164,male,3,0
165,male,3,1
166,female,1,1
167,female,3,0
168,male,1,0
169,male,3,0
170,male,1,0
171,male,3,0
172,female,3,1
173,male,3,0
174,male,1,0
175,male,3,0
176,male,3,0
177,female,1,0
178,male,2,0
179,male,3,0
180,female,3,0
181,male,2,0
182,male,3,0
183,male,2,1
184,female,3,1
185,male,1,0
186,female,3,1
187,male,1,1
188,male,3,0
189,male,3,0
190,female,2,1
191,male,2,0
192,female,3,1
193,male,2,1
194,female,1,1
195,female,1,1
196,male,3,0
197,male,3,0
198,female,3,1
199,female,2,0
200,male,3,0
201,male,3,0
202,male,3,0
203,male,3,0
204,male,3,1
205,female,3,0
206,male,3,0
207,male,3,1
208,female,3,1
209,male,1,1
210,male,3,0
211,female,2,1
212,male,3,0
213,male,2,0
214,male,3,0
215,female,1,1
216,female,3,1
217,male,2,0
218,female,1,1
219,male,2,0
220,male,3,1
221,male,2,0
222,male,3,0
223,male,3,0
224,male,1,1
225,male,3,0
226,male,2,1
227,male,3,0
228,male,2,0
229,female,3,0
230,female,1,1
231,male,3,0
232,male,2,0
233,female,3,1
234,male,2,0
235,female,3,0
236,male,2,0
237,female,2,1
238,male,2,0
239,male,2,0
240,female,3,0
241,female,3,1
242,male,2,0
243,male,3,0
244,male,3,0
245,male,1,0
246,female,3,0
247,female,2,1
248,male,1,1
249,male,2,0
250,male,3,0
251,female,3,0
252,male,1,0
253,male,3,0
254,female,3,0
255,female,3,1
256,female,1,1
257,female,1,1
258,female,1,1
259,female,2,1
260,male,3,0
261,male,3,1
262,male,1,0
263,male,1,0
264,female,3,0
265,male,2,0
266,male,3,0
267,male,3,1
268,female,1,1
269,female,1,1
270,male,1,0
271,male,3,1
272,female,2,1
273,male,1,0
274,female,3,1
275,female,1,1
276,female,3,0
277,male,2,0
278,male,3,0
279,female,3,1
280,male,3,0
281,male,3,0
282,male,3,0
283,male,3,1
284,male,1,0
285,male,3,0
286,male,3,1
287,male,3,0
288,male,2,1
289,female,3,1
290,female,1,1
291,female,1,1
292,male,2,0
293,female,3,0
294,male,3,0
295,male,1,0
296,male,3,0
297,female,1,0
298,male,1,1
299,female,1,1
300,female,3,1
301,male,3,1
302,male,3,0
303,female,2,1
304,male,3,0
305,male,1,1
306,female,1,1
307,female,1,1
308,male,2,0
309,female,1,1
310,female,1,1
311,female,1,1
312,female,2,0
313,male,3,0
314,male,2,0
315,female,3,1
316,female,2,1
317,male,2,0
318,female,1,1
319,female,1,1
320,male,3,0
321,male,3,0
322,female,2,1
323,female,2,1
324,male,3,0
325,female,1,1
326,male,3,0
327,female,2,1
328,female,3,1
329,female,1,1
330,female,3,1
331,male,1,0
332,male,1,0
333,male,3,0
334,female,1,1
335,male,3,0
336,male,1,0
337,female,1,1
338,male,3,1
339,male,1,0
340,male,2,1
341,female,1,1
342,male,2,0
343,male,2,0
344,male,2,0
345,female,2,1
346,female,2,1
347,female,3,1
348,male,3,1
349,male,3,0
350,male,3,0
351,male,1,0
352,male,3,0
353,male,3,0
354,male,3,0
355,male,3,0
356,female,1,1
357,female,2,0
358,female,3,1
359,female,3,1
360,male,3,0
361,male,2,0
362,female,3,0
363,male,3,0
364,male,3,0
365,male,3,0
366,female,1,1
367,female,3,1
368,female,3,1
369,female,1,1
370,male,1,1
371,male,3,0
372,male,3,0
373,male,1,0
374,female,3,0
375,female,1,1
376,female,3,1
377,male,1,0
378,male,3,0
379,male,3,0
380,female,1,1
381,female,3,1
382,male,3,0
383,female,1,1
384,male,3,0
385,male,2,0
386,male,3,0
387,female,2,1
388,male,3,0
389,female,2,1
390,male,1,1
391,male,3,1
392,male,3,0
393,female,1,1
394,female,3,1
395,male,3,0
396,female,3,0
397,male,2,0
398,male,2,0
399,female,2,1
400,male,3,1
401,male,3,0
402,female,3,0
403,male,3,0
404,female,3,0
405,male,2,0
406,male,3,0
407,male,2,1
408,male,3,0
409,female,3,0
410,male,3,0
411,male,3,0
412,female,1,1
413,male,2,0
414,male,3,1
415,female,3,0
416,female,2,1
417,female,2,1
418,male,2,0
419,female,3,0
420,male,3,0
421,male,3,0
422,male,3,0
423,female,3,0
424,male,3,0
425,male,3,0
426,female,2,1
427,female,2,1
428,male,3,0
429,male,3,1
430,male,1,1
431,female,3,1
432,female,2,1
433,male,3,0
434,male,1,0
435,female,1,1
436,female,3,0
437,female,2,1
438,male,1,0
439,male,2,0
440,female,2,1
441,male,3,0
442,male,3,0
443,female,2,1
444,male,3,1
445,male,1,1
446,female,2,1
447,male,1,1
448,female,3,1
449,male,1,1
450,male,2,0
451,male,3,0
452,male,1,0
453,male,1,1
454,male,3,0
455,male,3,1
456,male,1,0
457,female,1,1
458,female,2,1
459,male,3,0
460,male,1,1
461,male,3,0
462,male,1,0
463,male,2,0
464,male,3,0
465,male,3,0
466,male,2,0
467,male,1,0
468,male,3,0
469,female,3,1
470,male,3,0
471,male,3,0
472,female,2,1
473,female,2,1
474,female,3,0
475,male,1,0
476,male,2,0
477,male,3,0
478,male,3,0
479,female,3,1
480,male,3,0
481,male,2,0
482,male,3,0
483,female,3,1
484,male,1,1
485,female,3,0
486,female,1,1
487,male,1,0
488,male,3,0
489,male,3,1
490,male,3,0
491,male,3,0
492,male,1,0
493,male,1,0
494,male,3,0
495,male,3,0
496,female,1,1
497,male,3,0
498,female,1,0
499,male,3,0
500,male,3,0
501,female,3,0
502,female,3,0
503,female,3,0
504,female,1,1
505,male,1,0
506,female,2,1
507,male,1,1
508,male,3,0
509,male,3,1
510,male,3,1
511,male,3,0
512,male,1,1
513,female,1,1
514,male,3,0
515,male,1,0
516,female,2,1
517,male,3,0
518,female,2,1
519,male,3,0
520,female,1,1
521,male,3,0
522,male,3,0
523,female,1,1
524,male,3,0
525,male,3,0
526,female,2,1
527,male,1,0
528,male,3,0
529,male,2,0
530,female,2,1
531,male,3,0
532,male,3,0
533,female,3,1
534,female,3,0
535,female,2,1
536,male,1,0
537,female,1,1
538,male,3,0
539,female,1,1
540,female,1,1
541,female,3,0
542,female,3,0
543,male,2,1
544,male,1,0
545,male,1,0
546,female,2,1
547,male,2,1
548,male,3,0
549,male,2,1
550,male,1,1
551,male,2,0
552,male,3,0
553,male,3,1
554,female,3,1
555,male,1,0
556,female,1,1
557,male,1,0
558,female,1,1
559,female,3,1
560,male,3,0
561,male,3,0
562,male,2,0
563,male,3,0
564,female,3,0
565,male,3,0
566,male,3,0
567,female,3,0
568,male,3,0
569,male,3,1
570,male,2,1
571,female,1,1
572,male,1,1
573,female,3,1
574,male,3,0
575,male,3,0
576,female,2,1
577,female,1,1
578,female,3,0
579,male,3,1
580,female,2,1
581,female,1,1
582,male,2,0
583,male,1,0
584,male,3,0
585,female,1,1
586,male,2,0
587,male,1,1
588,male,3,0
589,male,3,0
590,male,3,0
591,female,1,1
592,male,3,0
593,female,3,0
594,male,2,0
595,male,3,0
596,female,2,1
597,male,3,0
598,male,3,0
599,male,1,1
600,female,2,1
601,male,3,0
602,male,1,0
603,male,3,0
604,male,1,1
605,male,3,0
606,male,3,0
607,male,1,1
608,female,2,1
609,female,1,1
610,female,3,0
611,male,3,0
612,female,3,1
613,male,3,0
614,male,3,0
615,female,2,1
616,male,3,0
617,female,3,0
618,female,2,1
619,male,2,0
620,male,3,0
621,male,1,1
622,male,3,1
623,male,3,0
624,male,3,0
625,male,1,0
626,male,2,0
627,female,1,1
628,male,3,0
629,male,3,0
630,male,1,1
631,male,3,0
632,male,1,1
633,male,1,0
634,female,3,0
635,female,2,1
636,male,3,0
637,male,2,0
638,female,3,0
639,male,3,0
640,male,3,0
641,female,1,1
642,female,3,0
643,male,3,1
644,female,3,1
645,male,1,1
646,male,3,0
647,male,1,1
648,male,3,0
649,female,3,1
650,male,3,0
651,female,2,1
652,male,3,0
653,female,3,1
654,female,3,0
655,male,2,0
656,male,3,0
657,female,3,0
658,male,2,0
659,male,1,0
660,male,1,1
661,male,3,0
662,male,1,0
663,male,3,0
664,male,3,1
665,male,2,0
666,male,2,0
667,male,3,0
668,male,3,0
669,female,1,1
670,female,2,1
671,male,1,0
672,male,2,0
673,male,2,1
674,male,2,0
675,male,3,0
676,male,3,0
677,female,3,1
678,female,3,0
679,male,1,1
680,female,3,0
681,male,1,1
682,male,3,0
683,male,3,0
684,male,2,0
685,male,2,0
686,male,3,0
687,male,3,0
688,male,3,0
689,female,1,1
690,male,1,1
691,female,3,1
692,male,3,1
693,male,3,0
694,male,1,0
695,male,2,0
696,male,3,0
697,female,3,1
698,male,1,0
699,male,3,0
700,female,1,1
701,male,1,1
702,female,3,0
703,male,3,0
704,male,3,0
705,male,2,0
706,female,2,1
707,male,1,1
708,female,1,1
709,male,3,1
710,female,1,1
711,male,1,0
712,male,1,1
713,male,3,0
714,male,2,0
715,male,3,0
716,female,1,1
717,female,2,1
718,male,3,0
719,male,3,0
720,female,2,1
721,male,3,0
722,male,2,0
723,male,2,0
724,male,1,1
725,male,3,0
726,female,2,1
727,female,3,1
728,male,2,0
729,female,3,0
730,female,1,1
731,male,3,0
732,male,2,0
733,male,2,0
734,male,2,0
735,male,3,0
736,female,3,0
737,male,1,1
738,male,3,0
739,male,3,0
740,male,1,1
741,male,1,0
742,female,1,1
743,male,3,0
744,male,3,1
745,male,1,0
746,male,3,0
747,female,2,1
748,male,1,0
749,male,3,0
750,female,2,1
751,male,3,1
752,male,3,0
753,male,3,0
754,female,2,1
755,male,2,1
756,male,3,0
757,male,2,0
758,male,3,0
759,female,1,1
760,male,3,0
761,male,3,0
762,male,3,1
763,female,1,1
764,male,3,0
765,female,1,1
766,male,1,0
767,female,3,0
768,male,3,0
769,male,3,0
770,male,3,0
771,male,3,0
772,female,2,0
773,male,3,0
774,female,2,1
775,male,3,0
776,male,3,0
777,female,3,1
778,male,3,0
779,female,1,1
780,female,3,1
781,female,1,1
782,male,1,0
783,male,3,0
784,male,3,0
785,male,3,0
786,female,3,1
787,male,3,0
788,male,3,1
789,male,1,0
790,male,3,0
791,male,2,0
792,female,3,0
793,male,1,0
794,male,3,0
795,male,2,0
796,female,1,1
797,female,3,1
798,male,3,0
799,female,3,0
800,male,2,0
801,female,2,1
802,male,1,1
803,male,3,1
804,male,3,1
805,male,3,0
806,male,1,0
807,female,3,0
808,male,2,0
809,female,1,1
810,male,3,0
811,male,3,0
812,male,2,0
813,female,3,0
814,male,3,0
815,male,1,0
816,female,3,0
817,male,2,0
818,male,3,0
819,male,3,0
820,female,1,1
821,male,3,1
822,male,1,0
823,female,3,1
824,male,3,0
825,male,3,0
826,male,3,0
827,male,2,1
828,male,3,1
829,female,1,1
830,female,3,1
831,male,2,1
832,male,3,0
833,male,3,0
834,male,3,0
835,female,1,1
836,male,3,0
837,male,3,0
838,male,3,1
839,male,1,1
840,male,3,0
841,male,2,0
842,female,1,1
843,male,3,0
844,male,3,0
845,male,3,0
846,male,3,0
847,male,3,0
848,male,2,0
849,female,1,1
850,male,3,0
851,male,3,0
852,female,3,0
853,female,1,1
854,female,2,0
855,female,3,1
856,female,1,1
857,male,1,1
858,female,3,1
859,male,3,0
860,male,3,0
861,male,2,0
862,female,1,1
863,female,3,0
864,male,2,0
865,female,2,1
866,female,2,1
867,male,1,0
868,male,3,0
869,male,3,1
870,male,3,0
871,female,1,1
872,male,1,0
873,male,3,0
874,female,2,1
875,female,3,1
876,male,3,0
877,male,3,0
878,male,3,0
879,female,1,1
880,female,2,1
881,male,3,0
882,female,3,0
883,male,2,0
884,male,3,0
885,female,3,0
886,male,2,0
887,female,1,1
888,female,3,0
889,male,1,1
890,male,3,0
